0.296083, 0.771137
0.312212, 0.721574
0.335253, 0.672012
0.365207, 0.613703
0.381336, 0.584548
0.411290, 0.534985
0.432028, 0.485423
0.450461, 0.441691
0.457373, 0.430029
0.464286, 0.415452
0.466590, 0.412536
0.468894, 0.412536
0.471198, 0.406706
0.471198, 0.409621
0.475806, 0.427114
0.478111, 0.438776
0.489631, 0.473761
0.496544, 0.491254
0.512673, 0.529155
0.535714, 0.572886
0.558756, 0.619534
0.584101, 0.669096
0.593318, 0.686589
0.609447, 0.706997
0.616359, 0.718659
0.627880, 0.733236
0.632488, 0.741983
0.637097, 0.753644
0.639401, 0.756560
0.641705, 0.756560
